fast,slow,signal,profit_factor,total_return,sharpe_ratio,win_rate
9,30,6,0.9807523116900564,-0.02985279826304766,-0.471495015547121,0.49505592478521643
9,30,8,0.9787621440597606,-0.03296998559019402,-0.5207340572340484,0.49546044098573283
9,30,10,0.9715887778945281,-0.04421441233790301,-0.6986299076736344,0.4956987502028891
9,30,12,0.9832271421645398,-0.025949254643239376,-0.4100121388129884,0.4966726180814803
9,30,14,0.9814446558514577,-0.028732760086067684,-0.453994443941287,0.4979711085862685
9,32,6,0.9726198704880776,-0.04264113292726927,-0.6734868172420644,0.49278651321121736
9,32,8,0.9703180909680964,-0.04622168400370208,-0.7303494524791561,0.49358870313260833
9,32,10,0.9835507236933738,-0.025444490810512803,-0.4020363842774473,0.49780879727316996
9,32,12,0.9796826724971571,-0.03148569720376999,-0.49750150849150654,0.4965909090909091
9,32,14,0.98236985724458,-0.02728434036731451,-0.43111420444595916,0.4980519480519481
9,34,6,0.9723755871124968,-0.04297280646442928,-0.679009832615206,0.4921279013147216
9,34,8,0.9635706148369068,-0.056924024471758615,-0.8994777771423325,0.49391332575880537
9,34,10,0.9714381802621855,-0.04444726330924117,-0.7023198405154545,0.49626623376623374
9,34,12,0.9844329268863432,-0.024066495600310912,-0.38026840939391837,0.4974025974025974
9,34,14,0.9693597264395046,-0.047529043813562113,-0.7519447743293071,0.49600261054005546
9,36,6,0.9726595667887588,-0.04252492223225767,-0.6719323189813391,0.49001785424444083
9,36,8,0.9689201492764989,-0.04842762111961855,-0.7652200874250886,0.4948051948051948
9,36,10,0.9745155167336097,-0.039596572636359635,-0.6256678693081836,0.4954545454545455
9,36,12,0.9723495366717465,-0.042826247425341336,-0.6775370842607489,0.49649208680045687
9,36,14,0.9724300395748825,-0.042699818182010525,-0.6755367461471711,0.496655245553924
9,38,6,0.9728319296912142,-0.042248473264670176,-0.6675737047845726,0.4902597402597403
9,38,8,0.9781717771507199,-0.03385296347942252,-0.5349080906936466,0.4965909090909091
9,38,10,0.9756372388408538,-0.037671316277032206,-0.5959778438796913,0.49632892804698975
9,38,12,0.9819379315461346,-0.027839980421568482,-0.4404356416409717,0.4969815630608582
9,38,14,0.9758894112543374,-0.03727440140397467,-0.5897006425388724,0.49657310704960833
9,40,6,0.9736183841192808,-0.041009127169595976,-0.6479892531391851,0.49107142857142855
9,40,8,0.9627190776491817,-0.05805636082739723,-0.9184141727723595,0.49453774661666394
9,40,10,0.971228469802831,-0.04458794825759307,-0.7054105029710225,0.4956762930331212
9,40,12,0.9836296608169411,-0.025210913098130776,-0.3988419700476571,0.49796051558166093
9,40,14,0.9805432528638068,-0.03000899144304394,-0.474753231283046,0.4972258485639687
9,42,6,0.9728960049183693,-0.041995397114529175,-0.6643110689111601,0.49095354523227386
9,42,8,0.9664674204660471,-0.052092080005702764,-0.824143149380451,0.49404470549845
9,42,10,0.9706766437500781,-0.04545585158826299,-0.7191424643914411,0.495349975526187
9,42,12,0.9722215784603846,-0.04302465080083779,-0.6806791180155288,0.4972258485639687
9,42,14,0.968273733342492,-0.04923783737283549,-0.7789851796770659,0.4949412532637076
9,44,6,0.9686761294785238,-0.04863348920315164,-0.7693335919533464,0.49168568633844145
9,44,8,0.9733525037410296,-0.04125183101678485,-0.6526270784664763,0.4955131342796541
9,44,10,0.9721189618952569,-0.04318842060995202,-0.6832673231574751,0.49649208680045687
9,44,12,0.9660085907944372,-0.052814023562788165,-0.8355698499553912,0.49592036553524804
9,44,14,0.9651193228152345,-0.0542202453073283,-0.8578203346249853,0.4931462140992167
9,46,6,0.9703560439192264,-0.045984636242061526,-0.7274283735555742,0.49323332789825536
9,46,8,0.9757061642238966,-0.03756342878024126,-0.5942709133918749,0.49583945178658834
9,46,10,0.9735296129636308,-0.040973978493473874,-0.648230989382497,0.496655245553924
9,46,12,0.9804582525769534,-0.030141384698073558,-0.4768478196343639,0.4970626631853786
9,46,14,0.9705275000490483,-0.045687360909965724,-0.7228085991144205,0.492737065448017
9,48,6,0.9668737106352612,-0.05145028760602705,-0.8139883019248108,0.49176048294991026
9,48,8,0.9766208530194803,-0.036132397527841816,-0.5716300858380778,0.49583945178658834
9,48,10,0.9643120381482232,-0.05549792735175033,-0.8780371329487979,0.4962467362924282
9,48,12,0.9784384454752216,-0.0332907073145085,-0.5266734419996332,0.49592036553524804
9,48,14,0.9727554802280293,-0.04218591713879946,-0.6674088609229193,0.49126815733637996
11,20,6,0.9759911801852574,-0.03732694534242406,-0.5895477801045405,0.4931107148646458
11,20,8,0.9684793803007884,-0.04918872405701422,-0.776917169421898,0.49319066147859925
11,20,10,0.9833503273534127,-0.02578377136912923,-0.40724001077278604,0.4944057077995784
11,20,12,0.9887974651742774,-0.017291963197128925,-0.273175262676405,0.4978102189781022
11,20,14,0.9807074401371176,-0.029897858671758544,-0.47233367080931077,0.49772874756651525
11,22,6,0.9752609668781715,-0.038476439836928854,-0.6077041733054612,0.4939212189982169
11,22,8,0.9638528631367969,-0.05654141035443422,-0.8930643713182258,0.49270428015564205
11,22,10,0.9775120033730472,-0.03491002796880852,-0.5515126853250458,0.49472830494728304
11,22,12,0.9876215987020073,-0.019035537092654466,-0.30111084980360053,0.4973915878708836
11,22,14,0.9739741315351637,-0.04029814712390168,-0.6374676505909153,0.496820479373879
11,24,6,0.9781502908576203,-0.03393032783905681,-0.5359025907031763,0.49448767833981844
11,24,8,0.9695810123941286,-0.04741212980194203,-0.7490382544604395,0.49359286293592863
11,24,10,0.9830133660735687,-0.02618510151701226,-0.41420407998579606,0.49665851670741645
11,24,12,0.9834429600879581,-0.02551433683903053,-0.40359763679731053,0.49714658405348117
11,24,14,0.9759237172037839,-0.03722294690816568,-0.5888840215014978,0.49812367433512805
11,26,6,0.9707258922750555,-0.04563090939198123,-0.7207178260745843,0.49335278858625164
11,26,8,0.9691005405555827,-0.04817276207963828,-0.7610562088766062,0.494566098945661
11,26,10,0.9905266000424184,-0.014546957566328726,-0.23010819568473775,0.4973915878708836
11,26,12,0.9776844772276223,-0.03447801246023665,-0.5454204314706691,0.49755301794453505
11,26,14,0.9670312952613486,-0.05120143190909036,-0.8100507600749801,0.49583945178658834
